"Question","Answer 1","Answer 2","Answer 3","Answer 4","Time limit (sec)","Correct answer(s)"
"How does marriage serve as a training ground for forgiveness and reconciliation?","By offering routine opportunities to practice compassion","By mandating public confession","By requiring isolation during conflicts","By avoiding discussions about feelings","20","1"
"How does living a sacramental marriage inspire others in the pursuit of holiness?","By keeping marital challenges private","By demonstrating self-sacrifice and mutual support as everyday actions","By emphasizing only personal success","By avoiding public displays of affection","20","2"
"What is the significance of the Church’s emphasis on family prayer and worship?","It unites the family and reinforces their commitment to faith","It is an outdated tradition with little modern relevance","It is solely for children’s religious education","It is primarily a ceremonial requirement","20","1"
"How do marital challenges provide opportunities for spiritual growth?","They expose weaknesses with no redeeming outcome","They encourage couples to rely on divine grace and learn resilience","They force couples to consider separation","They are viewed as failures in the marital bond","20","2"
"How does the concept of sacrifice in marriage foster deeper love?","By requiring one partner to always give in","By enabling both partners to prioritize the other's needs over their own","By diminishing personal identity","By establishing unequal roles","20","3"
"What impact does a spiritually vibrant marriage have on the broader community?","It creates an inspiring example of faith and commitment","It is confined to the private sphere with no outward impact","It leads to competitive rivalries in the community","It primarily benefits the couple's social status","20","1"
"Which element of marriage most effectively builds a resilient character?","Regular participation in social events","Consistent self-reflection and spiritual practices","Avoidance of conflict at all costs","Reliance solely on personal achievements","20","2"
"How do couples balance individual aspirations with their shared marital mission?","By subordinating personal dreams entirely to the relationship","By ignoring personal goals in favor of unity","By harmonizing individual talents within the framework of mutual growth","By maintaining complete independence without collaboration","20","3"
"In what ways does the Church encourage couples to live out their marital vocation daily?","Through mandated public events only","Through ongoing catechesis, prayer, and communal support","Through sporadic retreats with no regular follow-up","Through isolated personal study without shared practice","20","2"
"How do marital commitments serve as a foundation for broader societal transformation?","They primarily secure economic advantages","They create a ripple effect by nurturing faith, character, and leadership in future generations","They remain confined within the family unit with little external influence","They are largely symbolic with no practical implications","20","2"
